# Total Iterations: 500000000
# Cards per Hand: 8
Hand Type,Count,Probability
Pair,1064681042,0.296272
Pair*2,936024248,0.260470
Nothing,196902345,0.054793
Pair*3,177239680,0.049321
ThreeOfKind,162452990,0.045206
FiveCardsStraight,162182307,0.045131
ThreeOfKind_Pair,157254650,0.043760
FiveCardsFlush,156489681,0.043547
ThreeCardsFlushStraight,146577033,0.040788
ThreeCardsFlushStraight_Pair,130286041,0.036255
FiveCardsStraight_Pair,59952389,0.016683
SixCardsStraight,58625372,0.016314
FiveCardsFlush_Pair,38850592,0.010811
ThreeOfKind_Pair*2,19720550,0.005488
FourCardsFlushStraight,19549682,0.005440
SixCardsFlush,19119135,0.005320
ThreeCardsFlushStraight_Pair*2,15756822,0.004385
SevenCardsStraight,14354277,0.003994
FourCardsFlushStraight_Pair,9183798,0.002556
SixCardsStraight_Pair,7053673,0.001963
ThreeCardsFlushStraight_ThreeOfKind,6749274,0.001878
FourOfKind,6485093,0.001805
ThreeOfKind*2,4376422,0.001218
Pair*4,3698672,0.001029
ThreeCardsFlushStraight*2,3308101,0.000921
FourOfKind_Pair,3284417,0.000914
FiveCardsFlushStraight,1897277,0.000528
EightCardsStraight,1830960,0.000510
SixCardsFlush_Pair,1634537,0.000455
ThreeOfKind_FiveCardsStraight,1348115,0.000375
ThreeCardsFlushStraight_FiveCardsStraight,1268089,0.000353
SevenCardsFlush,1062546,0.000296
ThreeOfKind_FiveCardsFlush,755846,0.000210
ThreeCardsFlushStraight_FiveCardsFlush,740417,0.000206
ThreeCardsFlushStraight_ThreeOfKind_Pair,504694,0.000140
FiveCardsFlushStraight_Pair,403145,0.000112
FourCardsFlushStraight_Pair*2,338563,0.000094
ThreeOfKind*2_Pair,326616,0.000091
FourCardsFlushStraight_ThreeCardsFlushStraight,297050,0.000083
FourCardsFlushStraight_ThreeOfKind,286431,0.000080
ThreeCardsFlushStraight*2_Pair,240778,0.000067
SixCardsFlushStraight,130941,0.000036
FourOfKind_Pair*2,124361,0.000035
FourOfKind_ThreeOfKind,109666,0.000031
FourOfKind_ThreeCardsFlushStraight,80353,0.000022
EightCardsFlush,20725,0.000006
SixCardsFlushStraight_Pair,8774,0.000002
FiveCardsFlushStraight_ThreeCardsFlushStraight,6239,0.000002
FiveCardsFlushStraight_ThreeOfKind,5997,0.000002
SevenCardsFlushStraight,5513,0.000002
FourCardsFlushStraight*2,3149,0.000001
FourOfKind_FourCardsFlushStraight,1668,0.000000
FourOfKind*2,377,0.000000
EightCardsFlushStraight,62,0.000000
